run,program,nbodies,time_sec
52,n-body,10000,176.432566135
53,n-body,10000,182.680984835
54,n-body,10000,191.848896734
55,n-body,10000,176.434422065
56,n-body,10000,187.241081815
57,n-body,10000,192.265650596
58,n-body,10000,175.954365197
59,n-body,10000,174.941547221
60,n-body,10000,176.489739049
61,n-body,10000,176.486049669
62,n-body,10000,175.044417093
63,n-body,10000,175.447280482
64,n-body,10000,175.826151218
65,n-body,10000,176.177707974
66,n-body,10000,175.795585671
67,n-body,10000,180.839880945
68,n-body,10000,174.852868513
69,n-body,10000,181.452227668
70,n-body,10000,175.913572145
71,n-body,10000,175.256003118
72,n-body,10000,174.710084595
73,n-body,10000,174.199019541
74,n-body,10000,175.452240396
75,n-body,10000,174.919547296
76,n-body,10000,175.311234333
77,n-body,10000,174.411534818
78,n-body,10000,174.306142041
79,n-body,10000,173.809453628
80,n-body,10000,173.946744077
81,n-body,10000,174.876156370
82,n-body,10000,174.379563382
83,n-body,10000,174.107286020
84,n-body,10000,174.894216196
85,n-body,10000,174.066440615
86,n-body,10000,184.362962952
87,n-body,10000,174.984860585
88,n-body,10000,175.431377487
89,n-body,10000,191.718721409
90,n-body,10000,187.026523627
91,n-body,10000,174.590182887
92,n-body,10000,176.955994193
93,n-body,10000,190.777496448
94,n-body,10000,174.335699296
95,n-body,10000,173.972796488
96,n-body,10000,174.429762212
97,n-body,10000,173.819509973
98,n-body,10000,174.323911767
99,n-body,10000,173.532764228
100,n-body,10000,174.035005635
1,cpu_simd,10000,10.880963286
2,cpu_simd,10000,11.239949408
3,cpu_simd,10000,10.881175375
4,cpu_simd,10000,10.840276072
5,cpu_simd,10000,10.843355514
6,cpu_simd,10000,11.320998656
7,cpu_simd,10000,10.804814330
8,cpu_simd,10000,10.858017500
9,cpu_simd,10000,10.852216550
10,cpu_simd,10000,11.317384021
11,cpu_simd,10000,10.812583899
12,cpu_simd,10000,10.848533209
13,cpu_simd,10000,10.822510984
14,cpu_simd,10000,10.890076441
15,cpu_simd,10000,10.837338077
16,cpu_simd,10000,10.841325711
17,cpu_simd,10000,10.852071077
18,cpu_simd,10000,10.860392562
19,cpu_simd,10000,10.942183467
20,cpu_simd,10000,11.219142317
21,cpu_simd,10000,10.825930997
22,cpu_simd,10000,10.876214041
23,cpu_simd,10000,10.860637859
24,cpu_simd,10000,10.876053512
25,cpu_simd,10000,10.742654622
26,cpu_simd,10000,10.840752280
27,cpu_simd,10000,10.844106753
28,cpu_simd,10000,10.838415744
29,cpu_simd,10000,10.692179568
30,cpu_simd,10000,10.823935181
31,cpu_simd,10000,11.075356082
32,cpu_simd,10000,10.843473176
33,cpu_simd,10000,10.824542085
34,cpu_simd,10000,10.841530499
35,cpu_simd,10000,11.041301370
36,cpu_simd,10000,11.016212212
37,cpu_simd,10000,10.828221848
38,cpu_simd,10000,10.853938627
39,cpu_simd,10000,10.847711480
40,cpu_simd,10000,10.831831236
41,cpu_simd,10000,11.008190041
42,cpu_simd,10000,10.835059212
43,cpu_simd,10000,10.831815031
44,cpu_simd,10000,10.821310045
45,cpu_simd,10000,10.852808775
46,cpu_simd,10000,10.853032014
47,cpu_simd,10000,10.880863752
48,cpu_simd,10000,10.887050040
49,cpu_simd,10000,10.859792145
50,cpu_simd,10000,10.827712443
51,cpu_simd,10000,10.859337633
52,cpu_simd,10000,10.894891000
53,cpu_simd,10000,10.860804458
54,cpu_simd,10000,10.852146294
55,cpu_simd,10000,10.830338909
56,cpu_simd,10000,10.862269679
57,cpu_simd,10000,10.870592357
58,cpu_simd,10000,10.874598704
59,cpu_simd,10000,10.846525535
60,cpu_simd,10000,10.790556056
61,cpu_simd,10000,10.808190927
62,cpu_simd,10000,10.824754565
63,cpu_simd,10000,10.909196049
64,cpu_simd,10000,10.845922997
65,cpu_simd,10000,10.846791957
66,cpu_simd,10000,10.856274519
67,cpu_simd,10000,10.846692594
68,cpu_simd,10000,10.897859139
69,cpu_simd,10000,10.895119913
70,cpu_simd,10000,10.864812151
71,cpu_simd,10000,11.031152874
72,cpu_simd,10000,11.194583050
73,cpu_simd,10000,10.853433601
74,cpu_simd,10000,10.903895953
75,cpu_simd,10000,10.816327906
76,cpu_simd,10000,10.853146128
77,cpu_simd,10000,10.881141765
78,cpu_simd,10000,10.864602600
79,cpu_simd,10000,10.877213581
80,cpu_simd,10000,11.010580783
81,cpu_simd,10000,10.864301604
82,cpu_simd,10000,10.876558011
83,cpu_simd,10000,10.880180022
84,cpu_simd,10000,11.009067805
85,cpu_simd,10000,10.951295689
86,cpu_simd,10000,10.834319442
87,cpu_simd,10000,10.891174144
88,cpu_simd,10000,10.876299542
89,cpu_simd,10000,10.997085155
90,cpu_simd,10000,10.904935723
91,cpu_simd,10000,10.892144485
92,cpu_simd,10000,10.905470206
93,cpu_simd,10000,11.028700172
94,cpu_simd,10000,10.898097939
95,cpu_simd,10000,10.856646069
96,cpu_simd,10000,10.997614432
97,cpu_simd,10000,11.019684234
98,cpu_simd,10000,10.903583902
99,cpu_simd,10000,10.881482122
100,cpu_simd,10000,10.869550689
1,n-body,12000,272.254799011
2,n-body,12000,259.193453278
3,n-body,12000,256.881437986
4,n-body,12000,257.258032034
5,n-body,12000,259.693632100
6,n-body,12000,256.625377267
7,n-body,12000,258.913047118
8,n-body,12000,265.004915639
9,n-body,12000,257.636760257
10,n-body,12000,257.889383310
11,n-body,12000,258.318803669
12,n-body,12000,257.498359489
13,n-body,12000,257.998534519
14,n-body,12000,257.869880676
15,n-body,12000,271.802816202
16,n-body,12000,314.101191236
17,n-body,12000,301.163176926
18,n-body,12000,299.466898244
19,n-body,12000,313.045372198
20,n-body,12000,313.920466369
21,n-body,12000,334.036506649
22,n-body,12000,311.459494465
23,n-body,12000,310.311632622
24,n-body,12000,321.873227609
25,n-body,12000,321.350107901
26,n-body,12000,310.169082959
27,n-body,12000,304.614200348
28,n-body,12000,304.015842445
29,n-body,12000,304.284049469
30,n-body,12000,260.307978213
31,n-body,12000,260.940466742
32,n-body,12000,259.302294252
33,n-body,12000,259.455590836
34,n-body,12000,261.631445274
35,n-body,12000,267.671148707
36,n-body,12000,289.936877638
37,n-body,12000,340.761234853
38,n-body,12000,333.274771269
39,n-body,12000,336.108440722
40,n-body,12000,296.821097368
41,n-body,12000,291.095414416
42,n-body,12000,271.835510009
43,n-body,12000,277.750468646
44,n-body,12000,269.959137308
45,n-body,12000,275.751594051
46,n-body,12000,261.399834962
47,n-body,12000,267.362010912
48,n-body,12000,260.538801312
49,n-body,12000,259.486876190
50,n-body,12000,258.585542147
51,n-body,12000,258.500147304
52,n-body,12000,261.095814934
53,n-body,12000,258.073969603
54,n-body,12000,257.980365474
55,n-body,12000,257.488576275
56,n-body,12000,259.319768668
57,n-body,12000,259.000520638
58,n-body,12000,258.978729533
59,n-body,12000,276.312311583
60,n-body,12000,292.255090114
61,n-body,12000,306.947025058
62,n-body,12000,286.849860935
63,n-body,12000,302.492337261
64,n-body,12000,303.143773264
65,n-body,12000,280.223231993
66,n-body,12000,277.124377053
67,n-body,12000,266.596088288
68,n-body,12000,283.314961685
69,n-body,12000,273.884107109
70,n-body,12000,267.670915025
71,n-body,12000,266.715240947
72,n-body,12000,268.849136240
73,n-body,12000,266.404669670
74,n-body,12000,267.181179996
75,n-body,12000,279.228196627
76,n-body,12000,288.514577855
77,n-body,12000,285.009641591
78,n-body,12000,280.377916723
79,n-body,12000,295.741013705
80,n-body,12000,281.238047798
81,n-body,12000,287.135530134
82,n-body,12000,282.318435544
83,n-body,12000,281.643233174
84,n-body,12000,284.571357278
85,n-body,12000,292.451013637
86,n-body,12000,313.174589921
87,n-body,12000,303.653764315
88,n-body,12000,283.484604336
89,n-body,12000,278.947682070
90,n-body,12000,313.005986855
91,n-body,12000,302.734400018
92,n-body,12000,316.924601905
93,n-body,12000,292.820409587
94,n-body,12000,303.000105041
95,n-body,12000,297.930590446
96,n-body,12000,291.394843029
97,n-body,12000,298.188470326
98,n-body,12000,289.823120971
99,n-body,12000,284.081474353
100,n-body,12000,285.484266235
1,cpu_simd,12000,16.177826688
2,cpu_simd,12000,16.026357121
3,cpu_simd,12000,15.985525109
4,cpu_simd,12000,15.994770102
5,cpu_simd,12000,16.067817536
6,cpu_simd,12000,16.082746705
7,cpu_simd,12000,16.018970090
8,cpu_simd,12000,15.970805850
9,cpu_simd,12000,17.142601279
10,cpu_simd,12000,16.042983101
11,cpu_simd,12000,16.117169058
12,cpu_simd,12000,16.394756499
13,cpu_simd,12000,16.062607961
14,cpu_simd,12000,16.013557810
15,cpu_simd,12000,18.710070572
16,cpu_simd,12000,16.999941118
17,cpu_simd,12000,15.670732460
18,cpu_simd,12000,17.667443539
19,cpu_simd,12000,18.972782227
20,cpu_simd,12000,17.770517997
21,cpu_simd,12000,16.903471600
22,cpu_simd,12000,16.187800265
23,cpu_simd,12000,15.722158489
24,cpu_simd,12000,15.950697093
25,cpu_simd,12000,16.431320928
26,cpu_simd,12000,15.546058879
27,cpu_simd,12000,15.561004520
28,cpu_simd,12000,15.804117456
29,cpu_simd,12000,15.557346924
30,cpu_simd,12000,15.602702696
31,cpu_simd,12000,15.998825310
32,cpu_simd,12000,16.330753666
33,cpu_simd,12000,15.703689088
34,cpu_simd,12000,16.160321201
35,cpu_simd,12000,16.571547123
36,cpu_simd,12000,16.773846309
37,cpu_simd,12000,16.597529882
38,cpu_simd,12000,17.011985960
39,cpu_simd,12000,15.820903602
40,cpu_simd,12000,15.429712363
41,cpu_simd,12000,15.429032831
42,cpu_simd,12000,15.598268689
43,cpu_simd,12000,15.601137927
44,cpu_simd,12000,15.450134808
